trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1481,False,"{'a': 0.001, 'e': 0.22763768838381274}",25,0,16.425317692156657,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1482,False,"{'a': 0.001, 'e': 0.22741016447634296}",20,3,4.133989755297155,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
1483,False,"{'a': 0.001, 'e': 0.22718286797905665}",25,1,-9.018590741261171,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
1484,False,"{'a': 0.001, 'e': 0.22695579866465723}",20,14,4.264252880950012,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1485,False,"{'a': 0.001, 'e': 0.22672895630607542}",30,11,-16.947824852367603,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
1486,False,"{'a': 0.001, 'e': 0.22650234067646874}",30,11,8.794922636329272,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
1487,False,"{'a': 0.001, 'e': 0.2262759515492217}",20,9,12.082990781720273,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1488,False,"{'a': 0.001, 'e': 0.22604978869794498}",25,0,-33.577046575205294,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
1489,False,"{'a': 0.001, 'e': 0.22582385189647586}",30,23,11.843505920431486,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1490,False,"{'a': 0.001, 'e': 0.22559814091887742}",25,0,21.09997156320444,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
1491,False,"{'a': 0.001, 'e': 0.22537265553943872}",25,11,10.307641843053224,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
1492,False,"{'a': 0.001, 'e': 0.22514739553267432}",20,8,-0.09494644811322939,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
1493,False,"{'a': 0.001, 'e': 0.22492236067332425}",20,7,-32.5585144904536,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
1494,False,"{'a': 0.001, 'e': 0.22469755073635353}",20,0,-52.35387794662613,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
1495,False,"{'a': 0.001, 'e': 0.22447296549695234}",20,9,2.1169721117014806,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1496,False,"{'a': 0.001, 'e': 0.22424860473053532}",25,17,-8.568415136209527,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
1497,False,"{'a': 0.001, 'e': 0.22402446821274175}",25,4,32.77291056714788,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1498,False,"{'a': 0.001, 'e': 0.223800555719435}",20,11,-46.378308713208796,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
1499,False,"{'a': 0.001, 'e': 0.22357686702670268}",20,15,-0.2645653111180031,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
1500,False,"{'a': 0.001, 'e': 0.22335340191085598}",20,7,-2.6183644294771935,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
1501,False,"{'a': 0.001, 'e': 0.22313016014842982}",20,0,1.339723710152678,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1502,False,"{'a': 0.001, 'e': 0.22290714151618238}",25,0,11.525385534634616,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
1503,False,"{'a': 0.001, 'e': 0.22268434579109508}",20,13,9.97581644412255,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1504,False,"{'a': 0.001, 'e': 0.22246177275037207}",20,0,5.25905263381163,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1505,False,"{'a': 0.001, 'e': 0.2222394221714404}",20,3,30.258002725836953,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1506,False,"{'a': 0.001, 'e': 0.22201729383194937}",25,17,17.188008586911696,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1507,False,"{'a': 0.001, 'e': 0.22179538750977074}",20,15,10.580852116337315,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1508,False,"{'a': 0.001, 'e': 0.22157370298299803}",20,10,22.000704212589284,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1509,False,"{'a': 0.001, 'e': 0.22135224002994683}",20,13,12.049117391263156,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1510,False,"{'a': 0.001, 'e': 0.22113099842915407}",25,15,18.375063361248838,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1511,False,"{'a': 0.001, 'e': 0.2209099779593782}",30,2,-1.827563197371433,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
1512,False,"{'a': 0.001, 'e': 0.22068917839959865}",20,8,22.936468851455125,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1513,False,"{'a': 0.001, 'e': 0.22046859952901593}",30,9,22.08977289051668,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
1514,False,"{'a': 0.001, 'e': 0.22024824112705108}",25,3,-18.803038726217522,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
1515,False,"{'a': 0.001, 'e': 0.22002810297334574}",20,4,23.85967931572725,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1516,False,"{'a': 0.001, 'e': 0.21980818484776168}",20,2,26.564633769980002,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1517,False,"{'a': 0.001, 'e': 0.21958848653038082}",20,0,27.644140997819367,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1518,False,"{'a': 0.001, 'e': 0.21936900780150476}",30,1,4.791039698701971,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 0}",1
1519,False,"{'a': 0.001, 'e': 0.2191497484416548}",25,19,2.012605547715207,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1520,False,"{'a': 0.001, 'e': 0.2189307082315715}",25,14,-16.554787795068783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1521,False,"{'a': 0.001, 'e': 0.21871188695221475}",30,17,24.50875941761618,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1522,False,"{'a': 0.001, 'e': 0.21849328438476312}",25,9,-16.138918590849975,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1523,False,"{'a': 0.001, 'e': 0.21827490031061414}",35,20,-13.095585410888173,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
1524,False,"{'a': 0.001, 'e': 0.2180567345113836}",20,0,-26.50108820205371,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
1525,False,"{'a': 0.001, 'e': 0.21783878676890578}",25,17,13.317760573235478,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1526,False,"{'a': 0.001, 'e': 0.21762105686523284}",30,8,15.984063819188753,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
1527,False,"{'a': 0.001, 'e': 0.21740354458263497}",25,0,38.371634834234364,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1528,False,"{'a': 0.001, 'e': 0.21718624970359973}",20,0,5.9152326090666625,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1529,False,"{'a': 0.001, 'e': 0.21696917201083235}",25,3,2.612791479275597,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
1530,False,"{'a': 0.001, 'e': 0.216752311287255}",20,0,-15.247100162140212,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
1531,False,"{'a': 0.001, 'e': 0.21653566731600707}",20,0,3.0656166921461985,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1532,False,"{'a': 0.001, 'e': 0.21631923988044444}",20,0,18.016843005830605,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1533,False,"{'a': 0.001, 'e': 0.21610302876413975}",35,9,31.632258204655354,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
1534,False,"{'a': 0.001, 'e': 0.2158870337508818}",20,0,31.412973602315475,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1535,False,"{'a': 0.001, 'e': 0.21567125462467565}",20,16,8.705955867772534,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1536,False,"{'a': 0.001, 'e': 0.21545569116974203}",20,8,12.271147498265105,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1537,False,"{'a': 0.001, 'e': 0.21524034317051757}",20,11,-14.263891361041875,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
1538,False,"{'a': 0.001, 'e': 0.21502521041165426}",25,11,-14.137370081653488,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
1539,False,"{'a': 0.001, 'e': 0.2148102926780192}",20,4,26.969010769211803,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
